Room,Type,Make,Model,IpAddress
6404,4-5 Person Meeting Room,SAMSUNG,QM49N,30.92.225.123
6405,6-7 Person Meeting Room,CISCO,Room Kit Mini,30.91.224.245
6405,6-7 Person Meeting Room,SAMSUNG,QM55N,30.92.225.122
6406,6-7 Person Meeting Room,CISCO,Room Kit Mini,30.91.224.243
6406,6-7 Person Meeting Room,SAMSUNG,QM55N,30.92.225.121
6407,6-7 Person Meeting Room,CISCO,Room Kit Mini,30.91.224.241
6407,6-7 Person Meeting Room,SAMSUNG,QM55N,30.92.225.120
6408,Medium Informal Meeting Room,CISCO,Room Kit Mini,30.91.224.239
6408,Medium Informal Meeting Room,SAMSUNG,QM49N,30.92.225.119
6409,6-7 Person Meeting Room,CISCO,Room Kit Mini,30.91.224.237
6409,6-7 Person Meeting Room,SAMSUNG,QM55N,30.92.225.118
6410 - Unicorn,14 Person Meeting Room,SAMSUNG,QM75N,30.92.225.117
6413,Small Informal Meeting Room,CISCO,Room Kit Mini,30.91.224.231
6413,Small Informal Meeting Room,SAMSUNG,QM43N,30.92.225.116
6416,Medium Informal Meeting Room,CISCO,Room Kit Mini,30.91.224.226
6416,Medium Informal Meeting Room,SAMSUNG,QM49N,30.92.225.115
6417,6-7 Person Meeting Room,CISCO,Room Kit Mini,30.91.224.222
6417,6-7 Person Meeting Room,SAMSUNG,QM55N,30.92.225.114
6429 - Triceratops,8-9 Person Meeting Room,CISCO,Room Kit,30.91.224.212
6429 - Triceratops,8-9 Person Meeting Room,SAMSUNG,QM65N,30.92.225.113
6428,Medium Informal Meeting Room,CISCO,Room Kit Mini,30.91.224.210
6428,Medium Informal Meeting Room,SAMSUNG,QM49N,30.92.225.112
6427,4-5 Person Meeting Room,CISCO,Room Kit Mini,30.91.224.208
6427,4-5 Person Meeting Room,SAMSUNG,QM49N,30.92.225.111
6426,4-5 Person Meeting Room,CISCO,Room Kit Mini,30.91.224.206
6426,4-5 Person Meeting Room,SAMSUNG,QM49N,30.92.225.110
6425,4-5 Person Meeting Room,CISCO,Room Kit Mini,30.91.224.204
6425,4-5 Person Meeting Room,SAMSUNG,QM49N,30.92.225.109
6424,4-5 Person Meeting Room,CISCO,Room Kit Mini,30.91.224.202
6424,4-5 Person Meeting Room,SAMSUNG,QM49N,30.92.225.108
6423,4-5 Person Meeting Room,CISCO,Room Kit Mini,30.91.224.200
6423,4-5 Person Meeting Room,SAMSUNG,QM49N,30.92.225.107
6422,6-7 Person Meeting Room,CISCO,Room Kit Mini,30.91.224.198
6422,6-7 Person Meeting Room,SAMSUNG,QM55N,30.92.225.106
6421,4-5 Person Meeting Room,CISCO,Room Kit Mini,30.91.224.196
6421,4-5 Person Meeting Room,SAMSUNG,QM49N,30.92.225.105
6420,4-5 Person Meeting Room,CISCO,Room Kit Mini,30.91.224.194
6420,4-5 Person Meeting Room,SAMSUNG,QM49N,30.92.225.104
6419 - Pangolin,10 Person Meeting Room,CISCO,Room Kit,30.91.224.192
6419 - Pangolin,10 Person Meeting Room,SAMSUNG,QM75N,30.92.225.103
6418,Large Informal Meeting Room,SAMSUNG,QM75N,30.92.225.102
6501 - Orion,14 Person Meeting Room,SAMSUNG,QM75N,30.93.1.125
6502,8-9 Person Meeting Room,CISCO,Room Kit,30.93.0.251
6502,8-9 Person Meeting Room,SAMSUNG,QM65N,30.93.1.124
6503,6-7 Person Meeting Room,CISCO,Room Kit Mini,30.93.0.249
6503,6-7 Person Meeting Room,SAMSUNG,QM55N,30.93.1.123
6504,6-7 Person Meeting Room,CISCO,Room Kit Mini,30.93.0.247
6504,6-7 Person Meeting Room,SAMSUNG,QM55N,30.93.1.122
6505,6-7 Person Meeting Room,CISCO,Room Kit Mini,30.93.0.139
6505,6-7 Person Meeting Room,SAMSUNG,QM55N,30.93.1.121
,L5 Rec Area,SAMSUNG,QM98N,30.93.1.120
6509,6-7 Person Meeting Room,CISCO,Room Kit Mini,30.93.0.189
6509,6-7 Person Meeting Room,SAMSUNG,QM55N,30.93.1.119
6508,4-5 Person Meeting Room,CISCO,Room Kit Mini,30.93.0.187
6508,4-5 Person Meeting Room,SAMSUNG,QM49N,30.93.1.118
6507,6-7 Person Meeting Room,CISCO,Room Kit Mini,30.93.0.185
6507,6-7 Person Meeting Room,SAMSUNG,QM55N,30.93.1.117
6506,6-7 Person Meeting Room,CISCO,Room Kit Mini,30.93.0.183
6506,6-7 Person Meeting Room,SAMSUNG,QM55N,30.93.1.116
6510 - Centauri,10 Person Meeting Room,CISCO,Room Kit,30.93.0.181
6510 - Centauri ,10 Person Meeting Room,SAMSUNG,QM75N,30.93.1.115
6511 - Trinity ,20 - 22 Person Meeting Room,SAMSUNG,QM98N,30.93.1.114
6511 - Trinity ,20 - 22 Person Meeting Room,CISCO,ROOM KIT PLUS,30.93.0.178
6518 - Capella,8-9 Person Meeting Room,CISCO,Room Kit,30.93.0.169
6518 - Capella,8-9 Person Meeting Room,SAMSUNG,QM65N,30.93.1.105
6519,4-5 Person Meeting Room,CISCO,Room Kit Mini,30.93.0.167
6519,4-5 Person Meeting Room,SAMSUNG,QM49N,30.93.1.104
6520,4-5 Person Meeting Room,CISCO,Room Kit Mini,30.93.0.165
6520,4-5 Person Meeting Room,SAMSUNG,QM49N,30.93.1.103
6521 - Sirius,10 Person Meeting Room,CISCO,Room Kit,30.93.0.163
6521 - Sirius,10 Person Meeting Room,SAMSUNG,QM75N,30.93.1.102
6522 - Mintaka ,14 Person Meeting Room,SAMSUNG,QM75N,30.93.1.101
6523 - Scuti ,20 - 22 Person Meeting Room,SAMSUNG,QM98N,30.93.1.100
6523 - Scuti ,20 - 22 Person Meeting Room,CISCO,ROOM KIT PLUS,30.93.0.158
